Year,Month,Division,rolling_avg_goal_diff
2013,2,SP1,0.5361111111111113
2013,3,SP1,0.5916666666666669
2013,4,SP1,0.3547619047619049
2013,5,SP1,0.41309523809523824
2013,6,SP1,0.5130952380952384
2013,8,SP1,0.6150000000000002
2013,9,SP1,0.5881481481481483
2013,10,SP1,0.43814814814814834
2013,11,SP1,0.37592592592592605
2013,12,SP1,0.3527777777777779
2014,1,SP1,0.5044037940379406
2014,2,SP1,0.6766260162601627
2014,3,SP1,0.6872192365991459
2014,4,SP1,0.6411487758945388
2014,5,SP1,0.4653423242816355
2014,8,SP1,0.5964157706093193
2014,9,SP1,0.37419354838709706
2014,10,SP1,0.4602150537634411
2014,11,SP1,0.29881154499151125
2014,12,SP1,0.40992265610262235
2015,1,SP1,0.31267056530214443
2015,2,SP1,0.43504968383017184
2015,3,SP1,0.5048909536714417
2015,4,SP1,0.6419279907084786
2015,5,SP1,0.4226190476190477
2015,8,SP1,0.35833333333333356
2015,9,SP1,0.15833333333333352
2015,10,SP1,0.3537037037037039
2015,11,SP1,0.30566448801742935
2015,12,SP1,0.520194402547344
2016,1,SP1,0.6498240321769736
2016,2,SP1,0.6605616605616608
2016,3,SP1,0.5876984126984129
2016,4,SP1,0.4119408369408371
2016,5,SP1,0.4925757575757577
2016,8,SP1,0.4009090909090911
2016,9,SP1,0.2758536585365856
2016,10,SP1,0.26969981238273943
2016,11,SP1,0.3419220346049617
2016,12,SP1,0.5048040082522843
2017,1,SP1,0.4926245210727971
2017,2,SP1,0.4402435686918447
2017,3,SP1,0.4243284493284496
2017,4,SP1,0.37579903756374367
2017,5,SP1,0.46012443438914047
2017,8,SP1,0.21397058823529438
2017,9,SP1,0.28379629629629655
2017,10,SP1,0.21058201058201084
2017,11,SP1,0.39947089947089975
2017,12,SP1,0.36471306471306497
2018,1,SP1,0.3504273504273507
2018,2,SP1,0.49903846153846176
2018,3,SP1,0.5239864864864867
2018,4,SP1,0.5350975975975979
2018,5,SP1,0.3684309309309312
2018,8,SP1,0.18629227053140118
2018,9,SP1,0.09740338164251229
2018,10,SP1,0.1599033816425123
2018,11,SP1,0.27491039426523317
2018,12,SP1,0.340407470288625
2019,1,SP1,0.3607326735406575
2019,2,SP1,0.4080445014976468
2019,3,SP1,0.26199186991869944
2019,4,SP1,0.30277777777777803
2019,5,SP1,0.31388888888888916
2019,8,SP1,0.43632478632478655
2019,9,SP1,0.32975912975912997
2019,10,SP1,0.5271950271950274
2019,11,SP1,0.5583305583305586
2019,12,SP1,0.6223036223036225
2020,1,SP1,0.413756613756614
2020,2,SP1,0.5154882154882158
2020,3,SP1,0.33030303030303054
2020,6,SP1,0.3227558604917098
2020,7,SP1,0.13163411673838707
2020,9,SP1,0.23163411673838707
2020,10,SP1,0.07076023391812887
2020,11,SP1,0.236340852130326
2020,12,SP1,0.245315211104685
2021,1,SP1,0.2667974882260598
2021,2,SP1,0.2116479865649303
2021,3,SP1,0.20368372860067233
2021,4,SP1,0.2695767524768895
2021,5,SP1,0.2621412201244136
2021,8,SP1,0.2611311191143126
2021,9,SP1,0.30533476548514166
2021,10,SP1,0.34866514111365393
2021,11,SP1,0.2174151411136539
2021,12,SP1,0.30610909822866367
2022,1,SP1,0.2872685185185187
2022,2,SP1,0.5136404697380309
2022,3,SP1,0.42522947810123285
2022,4,SP1,0.37160628969543574
2022,5,SP1,0.27278063477221987
2022,8,SP1,0.020450885668277203
2022,9,SP1,0.16654719235364415
2022,10,SP1,0.18324524633983374
2022,11,SP1,0.45546746856205605
